LEA Code	Code	School Name	Level	Grade Span	Calendar	Magnet Programs	Enhancement Program	"School Membership 2013-14 (ADM, Mo2)"	GRD KI	GRD 1	GRD 2	GRD 3	GRD 4	GRD 5	GRD 6	GRD 7	GRD 8	GRD 9	GRD 10	GRD 11	GRD 12	GRD 13	MALE	FEMALE	"School Membership 2013-14 (MLD,  Mo3)"	American Indian and Alaska Native	Asian	Black or African American	Hispanic or Latino	Native Hawaiian and Other Pacific Islander	Two or More Races	White	% American Indian and Alaska Native	% Asian	% Black or African American	% Hispanic or Latino	% Native Hawaiian and Other Pacific Islander	% Two or More Races	% White	F&R	Percent F&R	LEP	Percent LEP	TITLE 1 PROGRAM	School Board District	School Board Member	Area Superintendent District	Area Superintendent	School Location in Municipal Extra Teritorial Jurisdiction	School Location within Municipal Corporate Limit 	Number Permanent Learning Spaces	20th Day Actual Membership	Special Needs Program Adjustment	Existing School Building Capacity	Long-Range School Campus Capacity [LRSCC]	LRSCC Percent Crowding (inc. Prog. Adjustment) 	Existing Temporary Classrooms	Annual School Campus Capacity [ASCC]	Percent in Temporary Classrooms	ASCC Percent Crowding 
920336	336	Brentwood Elementary	E	KI-5	T	 Engineering	STEM Schools Collaborative Network	429	70	75	74	70	64	76	-	-	-	-	-	-	-	-	236	192	428	3	21	145	201	0	18	40	0.7%	4.9%	33.9%	47.0%	0.0%	4.2%	9.3%	323	75.3%	125	29.3%	YES	Central Raleigh	Christine Kushner	Northeastern Wake County	Andre Smith	Raleigh	RALEIGH	32	429	(149)	424	424	156.0%	390	110.0%	5	29.5%
920340	340	Briarcliff Elementary	E	KI-5	T			600	98	114	102	102	85	99	-	-	-	-	-	-	-	-	309	292	601	2	28	93	157	0	35	286	0.3%	4.7%	15.5%	26.1%	0.0%	5.8%	47.6%	244	40.5%	89	14.7%	YES	Western Wake	Bill Fletcher 	Western Wake County	Jacqueline Ellis	Cary	CARY	35	600	(27)	540	563	111.9%	605	99.2%	4	15.2%
920342	342	Brier Creek Elementary 	E	KI-5	Y-R			851	159	154	158	136	118	126	-	-	-	-	-	-	-	-	442	413	855	2	69	256	84	0	41	403	0.2%	8.1%	29.9%	9.8%	0.0%	4.8%	47.1%	178	20.6%	59	6.8%	NO	West Raleigh/Morrisville	Zora Felton	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	38	851	(32)	728	866	102.0%	834	102.0%	6	16.5%
920344	344	Brooks Elementary	E	KI-5	T	Museums	STEM Schools Collaborative Network	591	97	97	108	100	91	98	-	-	-	-	-	-	-	-	294	292	586	2	7	57	86	1	14	419	0.3%	1.2%	9.7%	14.7%	0.2%	2.4%	71.5%	143	24.4%	60	10.1%	NO	Central Raleigh	Christine Kushner	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	33	591	37	477	500	110.1%	537	110.1%	1	4.3%
920352	352	Bugg Elementary	E	KI-5	T	Creative Arts & Science		570	73	105	95	96	94	107	-	-	-	-	-	-	-	-	278	291	569	0	3	444	55	0	26	41	0.0%	0.5%	78.0%	9.7%	0.0%	4.6%	7.2%	362	63.3%	31	5.5%	YES	East Raleigh	Keith Sutton	Southwestern Wake County	Clinton Robinson	Raleigh	RALEIGH	41	570	(55)	607	607	103.3%	552	103.3%	0	0.0%
920358	358	Carpenter Elementary	E	KI-5	Y-R			716	126	124	121	125	106	114	-	-	-	-	-	-	-	-	357	360	717	2	129	93	115	0	28	350	0.3%	18.0%	13.0%	16.0%	0.0%	3.9%	48.8%	156	21.6%	86	12.0%	NO	West Raleigh/Morrisville	Zora Felton	Western Wake County	Jacqueline Ellis	Cary	CARY	38	716	(14)	728	774	94.2%	760	94.2%	2	6.1%
920362	362	Carver Elementary	E	KI-5	MOD			465	91	89	66	65	62	92	-	-	-	-	-	-	-	-	256	211	467	1	2	123	123	0	17	201	0.2%	0.4%	26.3%	26.3%	0.0%	3.6%	43.0%	259	55.6%	50	10.7%	YES	Northeast Wake	Tom Benton	Eastern Wake County	Edward McFarland	Wendell	WAKE COUNTY	39	465	(115)	632	747	73.6%	632	73.6%	5	18.2%
920364	364	Cary Elementary	E	KI-5	T			578	104	106	99	82	95	92	-	-	-	-	-	-	-	-	331	248	579	3	23	79	139	1	32	302	0.5%	4.0%	13.6%	24.0%	0.2%	5.5%	52.2%	246	42.1%	81	14.2%	YES	Western Wake	Bill Fletcher 	Western Wake County	Jacqueline Ellis	Cary	CARY	36	578	(34)	563	563	109.3%	529	109.3%	0	0.0%
920369	369	Cedar Fork Elementary	E	KI-5	T			854	142	143	143	155	129	142	-	-	-	-	-	-	-	-	423	430	853	3	450	68	45	2	37	248	0.4%	52.8%	8.0%	5.3%	0.2%	4.3%	29.1%	61	7.1%	98	11.3%	NO	West Raleigh/Morrisville	Zora Felton	Western Wake County	Jacqueline Ellis	Morrisville	MORRISVILLE	41	854	(32)	678	793	112.2%	784	108.9%	6	17.6%
920376	376	Combs Elementary	E	KI-5	T	Leadership	STEM Schools Collaborative Network	911	155	168	157	148	144	139	-	-	-	-	-	-	-	-	453	459	912	1	107	183	141	0	47	433	0.1%	11.7%	20.1%	15.5%	0.0%	5.2%	47.5%	297	32.5%	130	14.2%	YES	South Central Raleigh	Dr. Jim Martin	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	37	911	(69)	581	673	150.8%	811	112.3%	13	36.9%
920380	380	Conn Elementary	E	KI-5	T	Active Learning and Technology	STEM Schools Collaborative Network	602	96	103	104	102	96	101	-	-	-	-	-	-	-	-	316	289	605	2	10	306	53	2	25	207	0.3%	1.7%	50.6%	8.8%	0.3%	4.1%	34.2%	273	45.3%	25	4.1%	YES	East Raleigh	Keith Sutton	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	36	602	(23)	536	582	107.7%	605	99.5%	4	15.2%
920384	384	Creech Road Elementary	E	KI-5	T		Renaissance School	619	95	115	107	106	104	92	-	-	-	-	-	-	-	-	318	295	613	3	4	333	192	0	17	64	0.5%	0.7%	54.3%	31.3%	0.0%	2.8%	10.4%	497	80.8%	107	16.9%	YES	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Garner	GARNER	39	619	(89)	632	747	94.1%	658	94.1%	5	17.5%
920390	390	Davis Drive Elementary	E	KI-5	T			974	111	164	173	177	171	178	-	-	-	-	-	-	-	-	522	464	986	2	367	26	52	1	32	506	0.2%	37.2%	2.6%	5.3%	0.1%	3.2%	51.3%	50	5.1%	70	7.2%	NO	Western Wake	Bill Fletcher 	Western Wake County	Jacqueline Ellis	Cary	CARY	39	974	(55)	632	632	168.8%	876	111.2%	13	34.1%
920393	393	Dillard Drive Elementary	E	KI-5	T			717	142	114	118	126	110	107	-	-	-	-	-	-	-	-	389	333	722	2	41	241	166	0	42	230	0.3%	5.7%	33.4%	23.0%	0.0%	5.8%	31.9%	396	55.2%	141	19.6%	YES	South Central Raleigh	Dr. Jim Martin	Southwestern Wake County	Clinton Robinson	Raleigh	RALEIGH	36	717	(78)	563	747	107.2%	715	100.3%	10	32.2%
920396	396	Douglas Elementary	E	KI-5	T	 Creative Arts & Science		719	149	132	122	108	106	102	-	-	-	-	-	-	-	-	351	373	724	0	14	110	183	1	33	383	0.0%	1.9%	15.2%	25.3%	0.1%	4.6%	52.9%	253	35.0%	112	15.6%	YES	Central Raleigh	Christine Kushner	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	32	719	0	400	630	114.1%	630	114.1%	10	36.5%
920398	398	Durant Road Elementary	E	KI-5	Y-R			957	173	153	164	159	151	157	-	-	-	-	-	-	-	-	506	462	968	8	37	194	161	0	39	529	0.8%	3.8%	20.0%	16.6%	0.0%	4.0%	54.6%	350	35.8%	107	11.1%	YES	North Raleigh	Kevin Hill	Northeastern Wake County	Andre Smith	Raleigh	RALEIGH	35	957	(147)	659	935	121.4%	926	103.3%	18	44.7%
920403	403	East Garner Elementary	E	KI-5	T			586	88	120	94	99	86	99	-	-	-	-	-	-	-	-	295	296	591	9	6	336	170	3	10	57	1.5%	1.0%	56.9%	28.8%	0.5%	1.7%	9.6%	443	75.6%	116	19.7%	YES	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Garner	GARNER	46	586	(55)	685	777	81.2%	630	93.0%	0	0.0%
920414	414	Farmington Woods Elementary	E	KI-5	T	International Baccalaureate-PYP	 Global Schools Collaborative Network 	832	138	150	145	133	136	130	-	-	-	-	-	-	-	-	405	418	823	2	97	119	149	0	41	415	0.2%	11.8%	14.5%	18.1%	0.0%	5.0%	50.4%	212	25.6%	88	10.6%	NO	Western Wake	Bill Fletcher 	Western Wake County	Jacqueline Ellis	Cary	CARY	37	832	(54)	543	681	132.7%	788	105.6%	13	37.9%
920417	417	Forest Pines Drive Elementary	E	KI-5	T			712	121	111	125	110	121	124	-	-	-	-	-	-	-	-	357	366	723	2	34	162	118	0	26	381	0.3%	4.7%	22.4%	16.3%	0.0%	3.6%	52.7%	234	32.3%	57	8.0%	YES	North Raleigh	Kevin Hill	Northeastern Wake County	Andre Smith	Raleigh	RALEIGH	40	712	14	655	655	106.4%	669	106.4%	0	0.0%
920413	413	Forestville Road Elementary	E	KI-5	T		Global Schools Collaborative Network	697	126	121	112	113	110	115	-	-	-	-	-	-	-	-	353	344	697	4	13	268	223	0	23	166	0.6%	1.9%	38.5%	32.0%	0.0%	3.3%	23.8%	395	56.8%	130	18.7%	YES	Northeast Wake	Tom Benton	Eastern Wake County	Edward McFarland	Knightdale	KNIGHTDALE	40	697	(135)	655	770	109.8%	658	105.9%	6	21.0%
920415	415	Fox Road Elementary	E	KI-5	T	International Baccalaureate-PYP		753	111	140	127	126	118	131	-	-	-	-	-	-	-	-	421	334	755	7	46	361	265	1	17	58	0.9%	6.1%	47.8%	35.1%	0.1%	2.3%	7.7%	587	78.1%	198	26.2%	YES	North Raleigh	Kevin Hill	Northeastern Wake County	Andre Smith	Raleigh	RALEIGH	35	753	(180)	497	658	157.5%	754	99.9%	19	58.0%
920416	416	Fuller Elementary	E	KI-5	T	Gifted & Talented/AG Basics		558	73	92	91	97	96	109	-	-	-	-	-	-	-	-	302	255	557	10	226	153	101	2	6	59	1.8%	40.6%	27.5%	18.1%	0.4%	1.1%	10.6%	221	39.6%	86	15.4%	YES	East Raleigh	Keith Sutton	Southwestern Wake County	Clinton Robinson	Raleigh	RALEIGH	31	558	(32)	389	504	118.2%	541	103.1%	8	34.0%
920420	420	Fuquay-Varina Elementary	E	KI-5	T			726	115	127	122	116	120	126	-	-	-	-	-	-	-	-	366	355	721	3	10	136	133	0	34	405	0.4%	1.4%	18.9%	18.4%	0.0%	4.7%	56.2%	278	38.6%	58	8.0%	YES	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Fuquay-Varina	FUQUAY-VARINA	40	726	(154)	655	770	117.9%	869	83.5%	16	42.3%
920440	440	Green Elementary	E	KI-5	T	Leadership and World Languages 		573	155	81	108	78	79	72	-	-	-	-	-	-	-	-	284	282	566	0	42	229	143	3	13	136	0.0%	7.4%	40.5%	25.3%	0.5%	2.3%	24.0%	333	58.6%	146	25.1%	YES	Central Raleigh	Christine Kushner	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	33	573	0	458	550	104.2%	550	104.2%	4	16.7%
920439	439	Green Hope Elementary	E	KI-5	T			831	135	120	158	136	125	157	-	-	-	-	-	-	-	-	423	407	830	0	323	64	65	1	26	351	0.0%	38.9%	7.7%	7.8%	0.1%	3.1%	42.3%	88	10.6%	68	8.2%	NO	Western Wake	Bill Fletcher 	Western Wake County	Jacqueline Ellis	Cary	CARY	38	831	17	609	793	102.6%	833	99.8%	9	24.8%
920451	451	Harris Creek Elementary	E	KI-5	Y-R			"1,012"	183	190	168	174	147	150	-	-	-	-	-	-	-	-	502	510	1012	2	25	297	180	0	52	456	0.2%	2.5%	29.3%	17.8%	0.0%	5.1%	45.1%	328	32.4%	92	9.0%	YES	Northeast Wake	Tom Benton	Eastern Wake County	Edward McFarland	Raleigh	RALEIGH	48	1012	(87)	"1,009"	"1,009"	109.8%	"1,014"	99.8%	4	9.1%
920306	306	Herbert Akins Road Elementary	E	KI-5	Y-R			912	176	153	167	153	140	123	-	-	-	-	-	-	-	-	465	460	925	5	8	126	106	1	55	624	0.5%	0.9%	13.6%	11.5%	0.1%	5.9%	67.5%	225	24.5%	51	5.6%	NO	Southern Wake	Susan Evans	Southern Wake County	Lloyd Gardner	Fuquay-Varina	FUQUAY-VARINA	51	912	(14)	"1,078"	"1,124"	82.2%	"1,064"	85.7%	0	0.0%
920454	454	Heritage Elementary	E	KI-5	Y-R			880	118	159	151	153	149	150	-	-	-	-	-	-	-	-	445	441	886	0	16	86	47	0	36	701	0.0%	1.8%	9.7%	5.3%	0.0%	4.1%	79.1%	117	13.2%	27	3.1%	NO	Northeast Wake	Tom Benton	Northeastern Wake County	Andre Smith	Wake Forest	WAKE FOREST	37	880	(32)	705	797	115.0%	834	105.5%	7	19.3%
920443	443	Highcroft Drive Elementary	E	KI-5	Y-R t4			943	139	157	167	162	159	159	-	-	-	-	-	-	-	-	481	456	937	2	220	36	48	0	37	594	0.2%	23.5%	3.8%	5.1%	0.0%	3.9%	63.4%	42	4.5%	38	4.0%	NO	Southern Wake	Susan Evans	Western Wake County	Jacqueline Ellis	Cary	CARY	38	943	14	609	701	131.9%	830	113.6%	9	24.9%
920446	446	Hodge Road Elementary	E	KI-5	Y-R t4		STEM Schools Collaborative Network	625	136	103	113	101	71	101	-	-	-	-	-	-	-	-	307	324	631	0	8	166	383	0	25	49	0.0%	1.3%	26.3%	60.7%	0.0%	4.0%	7.8%	500	78.5%	250	39.9%	YES	East Raleigh	Keith Sutton	Eastern Wake County	Edward McFarland	Knightdale	KNIGHTDALE	36	625	(147)	563	678	117.7%	531	117.7%	5	21.7%
920457	457	Holly Grove Elementary	E	KI-5	Y-R			"1,118"	175	199	188	181	175	200	-	-	-	-	-	-	-	-	566	550	1116	2	16	121	81	0	44	852	0.2%	1.4%	10.8%	7.3%	0.0%	3.9%	76.3%	135	12.1%	19	1.7%	NO	Southern Wake	Susan Evans	Southern Wake County	Lloyd Gardner	Holly Springs	HOLLY SPRINGS	46	1118	40	963	963	111.5%	"1,072"	104.3%	3	6.4%
920449	449	Holly Ridge Elementary 	E	KI-5	T			856	123	150	137	145	145	156	-	-	-	-	-	-	-	-	421	437	858	1	21	113	104	0	37	582	0.1%	2.4%	13.2%	12.1%	0.0%	4.3%	67.8%	221	25.7%	45	5.3%	NO	Southern Wake	Susan Evans	Southern Wake County	Lloyd Gardner	Holly Springs	HOLLY SPRINGS	36	856	(9)	563	655	132.5%	738	116.0%	8	24.9%
920447	447	Holly Springs Elementary	E	KI-5	Y-R			"1,086"	194	182	187	166	187	170	-	-	-	-	-	-	-	-	556	535	1091	2	22	153	69	4	46	795	0.2%	2.0%	14.0%	6.3%	0.4%	4.2%	72.9%	168	15.3%	26	2.4%	NO	Southern Wake	Susan Evans	Southern Wake County	Lloyd Gardner	Holly Springs	HOLLY SPRINGS	36	1086	(41)	682	843	135.4%	"1,009"	107.6%	16	36.5%
920448	448	Hunter Elementary	E	KI-5	T	Gifted & Talented/AG Basics		657	85	126	106	106	108	126	-	-	-	-	-	-	-	-	347	310	657	0	61	303	58	1	20	214	0.0%	9.3%	46.1%	8.8%	0.2%	3.0%	32.6%	289	44.2%	42	6.3%	YES	East Raleigh	Keith Sutton	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	39	657	(37)	546	569	123.5%	647	101.5%	6	21.3%
920452	452	Jeffreys Grove Elementary	E	KI-5	T		"Global Schools Collaborative Network, Spanish Language Immersion Program"	519	105	96	85	81	68	84	-	-	-	-	-	-	-	-	273	229	502	2	14	119	65	0	42	260	0.4%	2.8%	23.7%	12.9%	0.0%	8.4%	51.8%	162	32.1%	29	5.6%	NO	West Raleigh/Morrisville	Zora Felton	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	32	519	28	471	517	95.2%	568	91.4%	3	12.1%
920453	453	Jones Dairy Elementary	E	KI-5	Y-R			858	135	160	146	151	134	132	-	-	-	-	-	-	-	-	459	411	870	2	23	92	52	1	25	675	0.2%	2.6%	10.6%	6.0%	0.1%	2.9%	77.6%	114	13.1%	15	1.7%	NO	Northeast Wake	Tom Benton	Northeastern Wake County	Andre Smith	Wake County	WAKE COUNTY	36	858	(78)	682	912	102.9%	719	119.3%	5	16.0%
920456	456	Joyner Elementary	E	KI-5	T	Center for Spanish Language/IB PYP	"
Global Schools Collaborative Network"	691	101	130	130	111	113	106	-	-	-	-	-	-	-	-	355	332	687	5	17	110	124	4	20	407	0.7%	2.5%	16.0%	18.0%	0.6%	2.9%	59.2%	173	25.1%	44	6.3%	NO	Central Raleigh	Christine Kushner	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	34	691	0	466	489	141.3%	650	106.3%	8	28.3%
920460	460	Kingswood Elementary 	E	KI-5	T		STEM Schools Collaborative Network	339	59	61	58	54	49	58	-	-	-	-	-	-	-	-	186	158	344	0	54	72	109	2	24	83	0.0%	15.7%	20.9%	31.7%	0.6%	7.0%	24.1%	201	58.4%	88	25.6%	YES	Western Wake	Bill Fletcher 	Western Wake County	Jacqueline Ellis	Cary	CARY	28	339	3	379	379	88.7%	382	88.7%	0	0.0%
920464	464	Knightdale Elementary	E	KI-5	T			734	106	135	125	118	128	122	-	-	-	-	-	-	-	-	373	357	730	2	17	314	273	0	29	95	0.3%	2.3%	43.0%	37.4%	0.0%	4.0%	13.0%	496	67.8%	156	21.3%	YES	Northeast Wake	Tom Benton	Eastern Wake County	Edward McFarland	Knightdale	KNIGHTDALE	40	734	(135)	655	816	107.8%	704	104.3%	8	26.1%
920468	468	Lacy Elementary	E	KI-5	T			767	123	125	131	141	109	138	-	-	-	-	-	-	-	-	387	376	763	1	42	69	67	0	8	576	0.1%	5.5%	9.0%	8.8%	0.0%	1.0%	75.5%	196	25.7%	85	11.0%	NO	Central Raleigh	Christine Kushner	Central Wake County	Rose Anne Gonzalez	Raleigh	RALEIGH	40	767	9	655	701	108.0%	710	108.0%	2	6.5%
920474	474	Lake Myra Elementary	E	KI-5	Y-R t4			618	105	110	111	105	89	98	-	-	-	-	-	-	-	-	321	312	633	0	11	195	151	1	28	247	0.0%	1.7%	30.8%	23.9%	0.2%	4.4%	39.0%	283	44.7%	82	13.3%	YES	Northeast Wake	Tom Benton	Eastern Wake County	Edward McFarland	Wendell	WENDELL	51	618	(75)	800	846	80.2%	725	85.2%	0	0.0%
920467	467	Laurel Park Elementary	E	KI-5	Y-R			983	168	173	171	163	147	161	-	-	-	-	-	-	-	-	492	482	974	1	82	58	111	0	58	664	0.1%	8.4%	6.0%	11.4%	0.0%	6.0%	68.2%	126	13.0%	58	5.9%	NO	Western Wake	Bill Fletcher 	Southwestern Wake County	Clinton Robinson	Cary	CARY	46	983	25	963	986	97.2%	988	99.5%	0	0.0%
920470	470	Lead Mine Elementary	E	KI-5	T			569	116	100	90	95	94	74	-	-	-	-	-	-	-	-	276	282	558	2	11	159	77	1	19	289	0.4%	2.0%	28.5%	13.8%	0.2%	3.4%	51.8%	204	36.6%	42	7.1%	YES	West Raleigh/Morrisville	Zora Felton	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	35	569	0	540	609	93.4%	563	101.1%	1	4.1%
920469	469	Leesville Road Elementary	E	KI-5	T			962	177	163	158	157	150	157	-	-	-	-	-	-	-	-	468	496	964	0	53	236	115	0	38	522	0.0%	5.5%	24.5%	11.9%	0.0%	3.9%	54.1%	269	27.8%	77	8.0%	NO	West Raleigh/Morrisville	Zora Felton	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	35	962	(32)	540	655	154.4%	899	107.0%	17	43.5%
920476	476	Lincoln Heights Elementary	E	KI-5	T		STEM Schools Collaborative Network	478	65	83	75	76	77	102	-	-	-	-	-	-	-	-	251	230	481	1	6	190	138	1	23	122	0.2%	1.2%	39.5%	28.7%	0.2%	4.8%	25.4%	315	64.8%	83	17.3%	YES	Southeast Wake	Monika Johnson-Hostler	Southern Wake County	Lloyd Gardner	Fuquay-Varina	FUQUAY-VARINA	37	478	(112)	586	724	78.1%	727	65.7%	11	34.8%
920480	480	Lockhart Elementary	E	KI-5	Y-R t4			723	107	144	114	116	123	119	-	-	-	-	-	-	-	-	372	351	723	0	12	259	200	0	23	229	0.0%	1.7%	35.8%	27.7%	0.0%	3.2%	31.7%	396	54.7%	103	14.3%	YES	Northeast Wake	Tom Benton	Eastern Wake County	Edward McFarland	Knightdale	KNIGHTDALE	37	723	(164)	586	678	140.7%	721	100.3%	13	41.5%
920488	488	Lynn Road Elementary	E	KI-5	T			510	80	93	89	71	86	91	-	-	-	-	-	-	-	-	251	261	512	0	10	210	118	1	28	145	0.0%	2.0%	41.0%	23.0%	0.2%	5.5%	28.3%	266	51.8%	63	12.1%	YES	Central Raleigh	Christine Kushner	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	40	510	(112)	655	770	77.5%	543	93.9%	0	0.0%
920494	494	Middle Creek Elementary	E	KI-5	Y-R			873	131	137	140	157	149	159	-	-	-	-	-	-	-	-	464	414	878	0	17	67	118	0	30	646	0.0%	1.9%	7.6%	13.4%	0.0%	3.4%	73.6%	159	18.0%	57	6.5%	NO	South Central Raleigh	Dr. Jim Martin	Southwestern Wake County	Clinton Robinson	Cary	CARY	37	873	(101)	705	843	117.7%	972	89.8%	16	37.9%
920496	496	Millbrook Elementary	E	KI-5	T	International Baccalaureate-PYP	Global Schools Collaborative Network	788	128	139	144	120	129	128	-	-	-	-	-	-	-	-	445	359	804	0	21	383	249	0	33	118	0.0%	2.6%	47.6%	31.0%	0.0%	4.1%	14.7%	545	67.6%	126	15.9%	YES	Central Raleigh	Christine Kushner	Northern Wake County	Pamela Kinsey-Barker	Raleigh	RALEIGH	46	788	(23)	665	711	114.5%	711	110.8%	3	9.7%
920501	501	Mills Park Elementary	E	KI-5	T			958	130	166	169	152	162	179	-	-	-	-	-	-	-	-	498	458	956	3	311	56	77	3	33	473	0.3%	32.5%	5.9%	8.1%	0.3%	3.5%	49.5%	78	8.2%	53	5.5%	NO	Southern Wake	Susan Evans	Western Wake County	Jacqueline Ellis	Cary	CARY	51	958	88	800	846	102.6%	888	107.9%	0	0.0%
